prefix_start4,prefix_end4,service
5556,5559,Unknown
5560,5569,Unknown
5570,5579,Unknown
5580,5589,Unknown
5590,5599,Unknown
5600,5609,Unknown
5610,5619,Unknown
5620,5629,Unknown
5630,5639,Unknown
5640,5649,Unknown
5650,5655,Unknown
5656,5656,Unknown
5657,5659,Unknown
5660,5669,Unknown
5670,5677,Unknown
5678,5678,Unknown
5679,5679,Unknown
5680,5689,Unknown
5690,5699,Unknown
5700,5701,Unknown
5702,5703,Unknown
5704,5705,Unknown
5706,5706,Unknown
5707,5708,Unknown
5709,5709,Unknown
5710,5717,Unknown
5718,5719,Unknown
5720,5729,Unknown
5730,5736,Unknown
5737,5739,Unknown
5740,5744,Unknown
5745,5746,Unknown
5747,5748,Unknown
5749,5749,Unknown
5750,5756,Unknown
5757,5757,Unknown
5758,5759,Unknown
5760,5767,Unknown
5768,5769,Unknown
5770,5779,Unknown
5780,5789,Unknown
5790,5799,Unknown
5800,5800,Fixed Services
5801,5801,Fixed Services
5802,5802,Fixed Services
5803,5803,Fixed Services
5804,5804,Fixed Services
5805,5805,Fixed Services
5806,5806,Fixed Services
5807,5807,Fixed Services
5808,5808,Fixed Services
5809,5809,Fixed Services
5810,5810,Fixed Services
5811,5811,Fixed Services
5812,5812,Fixed Services
5813,5813,Fixed Services
5814,5814,Fixed Services
5815,5815,Fixed Services
5816,5816,Fixed Services
5817,5817,Fixed Services
5818,5818,Fixed Services
5819,5819,Fixed Services
5989,5999,Unknown
6190,6199,Unknown
6200,6209,Unknown
6210,6219,Unknown
6220,6229,Unknown
6230,6239,Unknown
6240,6243,Unknown
6244,6249,Unknown
6250,6259,Unknown
6260,6260,Unknown
6261,6261,Unknown
6262,6262,Unknown
6263,6267,Unknown
6268,6268,Unknown
6269,6269,Unknown
6270,6279,Unknown
6280,6289,Unknown
6290,6299,Unknown
6300,6309,Unknown
6310,6319,Unknown
6320,6329,Unknown
6330,6339,Unknown
6340,6349,Unknown
6350,6359,Unknown
6360,6360,Unknown
6361,6361,Unknown
6362,6362,Unknown
6363,6363,Unknown
6364,6368,Unknown
6369,6369,Unknown
6370,6379,Unknown
6380,6389,Unknown
6390,6399,Unknown
6400,6409,Unknown
6410,6419,Unknown
6420,6429,Unknown
6430,6439,Unknown
6440,6449,Unknown
6450,6451,Unknown
6451,6451,Unknown
6452,6452,Unknown
6453,6459,Unknown
6460,6469,Unknown
6470,6479,Unknown
6480,6489,Unknown
6490,6499,Unknown
6500,6509,Unknown
6510,6519,Unknown
6520,6529,Unknown
6530,6539,Unknown
6540,6549,Unknown
6550,6559,Unknown
6560,6569,Unknown
6570,6579,Unknown
6580,6589,Unknown
6590,6599,Unknown
6600,6609,Unknown
6610,6619,Unknown
6620,6629,Unknown
6630,6639,Unknown
6640,6649,Unknown
6650,6659,Unknown
6660,6663,Unknown
6664,6665,Unknown
6666,6666,Unknown
6667,6669,Unknown
6670,6679,Unknown
6680,6689,Unknown
6690,6699,Unknown
6700,6709,Unknown
6710,6719,Unknown
6720,6729,Unknown
