start,end,prefix_start4,prefix_end4,first_digit,operator_hint,raw
46700000,46779999,4670,4677,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46780000,46789999,4678,4678,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46790000,46799999,4679,4679,4,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
46800000,46899999,4680,4689,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46900000,46989999,4690,4698,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
46990000,46999999,4699,4699,4,South China Telecommunications (H.K.) Limited 中國南方電信(香港)有限公司,Mobile Service 流動服務 South China Telecommunications (H.K.) Limited 中國南方電信(香港)有限公司
47000000,47099999,4700,4709,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47100000,47199999,4710,4719,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47200000,47259999,4720,4725,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
47260000,47309999,4726,4730,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47310000,47349999,4731,4734,4,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
47350000,47399999,4735,4739,4,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
47400000,47429999,4740,4742,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
47430000,47449999,4743,4744,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
47480000,47489999,4748,4748,4,China Telecom Global Limited 中國電信國際有限公司,Mobile Service 流動服務 China Telecom Global Limited 中國電信國際有限公司
47500000,47599999,4750,4759,4,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
47600000,47659999,4760,4765,4,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
52300000,52339999,5230,5233,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
52360000,52379999,5236,5237,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52380000,52399999,5238,5239,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52400000,52499999,5240,5249,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
52530000,52579999,5253,5257,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52600000,52699999,5260,5269,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
